ID,Question,Ans01,Ans02,Ans03,Ans04,Ans05,Ans06,Ans07,Ans08,Ans09,Ans10
126586,Music : 70's Chart Toppers: Name The Artist: You've Got To Crawl,8th day,,,,,,,,,
126587,Music : 80's Chart Toppers: Name The Artist: 1 2 3,miami sound machine,,,,,,,,,
126588,Music : 80's Chart Toppers: Name The Artist: 10 9 8,face to face,,,,,,,,,
126589,Music : 80's Chart Toppers: Name The Artist: 17,rick james,,,,,,,,,
126590,Music : 80's Chart Toppers: Name The Artist: 18 And Life,skid row,,,,,,,,,
126591,Music : 80's Chart Toppers: Name The Artist: 19,paul hardcastle,,,,,,,,,
126592,Music : 80's Chart Toppers: Name The Artist: 1999,prince,,,,,,,,,
126593,Music : 80's Chart Toppers: Name The Artist: 65 Love Affair,paul davis,,,,,,,,,
126594,Music : 80's Chart Toppers: Name The Artist: 853 5937,squeeze,,,,,,,,,
126595,Music : 80's Chart Toppers: Name The Artist: 867 5309,tommy tutone,,,,,,,,,
126596,Music : 80's Chart Toppers: Name The Artist: 9 To 5,dolly parton,,,,,,,,,
126597,Music : 80's Chart Toppers: Name The Artist: 99 Luftballons,nena,,,,,,,,,
126598,Music : 80's Chart Toppers: Name The Artist: 99,toto,,,,,,,,,
126599,Music : 80's Chart Toppers: Name The Artist: A Different Corner,george michael,,,,,,,,,
126600,Music : 80's Chart Toppers: Name The Artist: A Fine Fine Day,tony carey,,,,,,,,,
126601,Music : 80's Chart Toppers: Name The Artist: A Girl In Trouble,romeo void,,,,,,,,,
126602,Music : 80's Chart Toppers: Name The Artist: A Life Of Illusion,joe walsh,,,,,,,,,
126603,Music : 80's Chart Toppers: Name The Artist: A Little Bit Of Love,new edition,,,,,,,,,
126604,Music : 80's Chart Toppers: Name The Artist: A Little In Love,cliff richard,,,,,,,,,
126605,Music : 80's Chart Toppers: Name The Artist: A Little Respect,erasure,,,,,,,,,
126606,Music : 80's Chart Toppers: Name The Artist: A Love Bizarre,sheila e,,,,,,,,,
126607,Music : 80's Chart Toppers: Name The Artist: A Lover's Holiday,change,,,,,,,,,
126608,Music : 80's Chart Toppers: Name The Artist: A Matter Of Trust,billy joel,,,,,,,,,
126609,Music : 80's Chart Toppers: Name The Artist: A Nightmare On My Street,d.j. jazzy jeff & the fresh prince,,,,,,,,,
126610,Music : 80's Chart Toppers: Name The Artist: A Nite At The Apollo Live!,daryl hall & john oates,,,,,,,,,
126611,Music : 80's Chart Toppers: Name The Artist: A Nite At The Apollo Live!,eddie kendricks,,,,,,,,,
126612,Music : 80's Chart Toppers: Name The Artist: A Penny For Your Thoughts,tavares,,,,,,,,,
126613,Music : 80's Chart Toppers: Name The Artist: A Shoulder To Cry On,tommy page,,,,,,,,,
126614,Music : 80's Chart Toppers: Name The Artist: A View To A Kill,duran duran,,,,,,,,,
126615,Music : 80's Chart Toppers: Name The Artist: A Woman Needs Love,ray parker jr. & raydio,,,,,,,,,
126616,Music : 80's Chart Toppers: Name The Artist: A Word In Spanish,elton john,,,,,,,,,
126617,Music : 80's Chart Toppers: Name The Artist: Abacab,genesis,,,,,,,,,
126618,Music : 80's Chart Toppers: Name The Artist: Abracadabra,steve miller band,,,,,,,,,
126619,Music : 80's Chart Toppers: Name The Artist: Addicted To Love,robert palmer,,,,,,,,,
126620,Music : 80's Chart Toppers: Name The Artist: Adult Education,daryl hall & john oates,,,,,,,,,
126621,Music : 80's Chart Toppers: Name The Artist: Affair Of The Heart,rick springfield,,,,,,,,,
126622,Music : 80's Chart Toppers: Name The Artist: Africa,toto,,,,,,,,,
126623,Music : 80's Chart Toppers: Name The Artist: After All,peter cetera/cher,,,,,,,,,
126624,Music : 80's Chart Toppers: Name The Artist: After The Fall,journey,,,,,,,,,
126625,Music : 80's Chart Toppers: Name The Artist: After The Glitter Fades,stevie nicks,,,,,,,,,
126626,Music : 80's Chart Toppers: Name The Artist: Against All Odds,phil collins,,,,,,,,,
126627,Music : 80's Chart Toppers: Name The Artist: Against The Wind,bob seger,,,,,,,,,
126628,Music : 80's Chart Toppers: Name The Artist: Ah! Leah!,donnie iris,,,,,,,,,
126629,Music : 80's Chart Toppers: Name The Artist: Ai No Corrida,quincy jones,,,,,,,,,
126630,Music : 80's Chart Toppers: Name The Artist: Ain't Even Done With The Night,john cougar,,,,,,,,,
126631,Music : 80's Chart Toppers: Name The Artist: Ain't Nobody,rufus & chaka khan,,,,,,,,,
126632,Music : 80's Chart Toppers: Name The Artist: Alibis,sergio mendes,,,,,,,,,
126633,Music : 80's Chart Toppers: Name The Artist: Alien,atlanta rhythm section,,,,,,,,,
126634,Music : 80's Chart Toppers: Name The Artist: Alive & Kicking,simple minds,,,,,,,,,
126635,Music : 80's Chart Toppers: Name The Artist: All Cried Out,lisa lisa & cult jam,,,,,,,,,
126636,Music : 80's Chart Toppers: Name The Artist: All Fired Up,pat benatar,,,,,,,,,
126637,Music : 80's Chart Toppers: Name The Artist: All I Need Is A Miracle,mike + the mechanics,,,,,,,,,
126638,Music : 80's Chart Toppers: Name The Artist: All I Need,jack wagner,,,,,,,,,
126639,Music : 80's Chart Toppers: Name The Artist: All I Wanted,kansas,,,,,,,,,
126640,Music : 80's Chart Toppers: Name The Artist: All My Life,kenny rogers,,,,,,,,,
126641,Music : 80's Chart Toppers: Name The Artist: All Night Long,joe walsh,,,,,,,,,
126642,Music : 80's Chart Toppers: Name The Artist: All Night Long,lionel richie,,,,,,,,,
126643,Music : 80's Chart Toppers: Name The Artist: All Of You,julio iglesias & diana ross,,,,,,,,,
126644,Music : 80's Chart Toppers: Name The Artist: All Our Tommorrows,eddie schwartz,,,,,,,,,
126645,Music : 80's Chart Toppers: Name The Artist: All Out Of Love,air supply,,,,,,,,,
126646,Music : 80's Chart Toppers: Name The Artist: All Over The World,electric light orchestra,,,,,,,,,
126647,Music : 80's Chart Toppers: Name The Artist: All Right,christopher cross,,,,,,,,,
126648,Music : 80's Chart Toppers: Name The Artist: All She Wants Is,duran duran,,,,,,,,,
126649,Music : 80's Chart Toppers: Name The Artist: All She Wants To Do Is Dance,don henley,,,,,,,,,
126650,Music : 80's Chart Toppers: Name The Artist: All The Love In The World,outfield,,,,,,,,,
126651,Music : 80's Chart Toppers: Name The Artist: All The Things She Said,simple minds,,,,,,,,,
126652,Music : 80's Chart Toppers: Name The Artist: All This Love,debarge,,,,,,,,,
126653,Music : 80's Chart Toppers: Name The Artist: All This Time,tiffany,,,,,,,,,
126654,Music : 80's Chart Toppers: Name The Artist: All Those Years Ago,george harrison,,,,,,,,,
126655,Music : 80's Chart Toppers: Name The Artist: All Through The Night,cyndi lauper,,,,,,,,,
126656,Music : 80's Chart Toppers: Name The Artist: All Time High,rita coolidge,,,,,,,,,
126657,Music : 80's Chart Toppers: Name The Artist: Allentown,billy joel,,,,,,,,,
126658,Music : 80's Chart Toppers: Name The Artist: Almost Over You,sheena easton,,,,,,,,,
126659,Music : 80's Chart Toppers: Name The Artist: Almost Paradise,mike reno & ann wilson,,,,,,,,,
126660,Music : 80's Chart Toppers: Name The Artist: Alone,heart,,,,,,,,,
126661,Music : 80's Chart Toppers: Name The Artist: Along Comes A Woman,chicago,,,,,,,,,
126662,Music : 80's Chart Toppers: Name The Artist: Alphabet St.,prince & the revolution,,,,,,,,,
126663,Music : 80's Chart Toppers: Name The Artist: Always On My Mind,pet shop boys,,,,,,,,,
126664,Music : 80's Chart Toppers: Name The Artist: Always On My Mind,willie nelson,,,,,,,,,
126665,Music : 80's Chart Toppers: Name The Artist: Always Something There To Remind Me,naked eyes,,,,,,,,,
126666,Music : 80's Chart Toppers: Name The Artist: Always,atlantic starr,,,,,,,,,
126667,Music : 80's Chart Toppers: Name The Artist: Amanda,boston,,,,,,,,,
126668,Music : 80's Chart Toppers: Name The Artist: America,neil diamond,,,,,,,,,
126669,Music : 80's Chart Toppers: Name The Artist: American Heartbeat,survivor,,,,,,,,,
126670,Music : 80's Chart Toppers: Name The Artist: American Music,pointer sisters,,,,,,,,,
126671,Music : 80's Chart Toppers: Name The Artist: American Storm,bob seger & the silver bullet band,,,,,,,,,
126672,Music : 80's Chart Toppers: Name The Artist: An American Dream,dirt band,,,,,,,,,
126673,Music : 80's Chart Toppers: Name The Artist: An Innocent Man,billy joel,,,,,,,,,
126674,Music : 80's Chart Toppers: Name The Artist: And I'm Telling You I'm Not Going,jennifer holliday,,,,,,,,,
126675,Music : 80's Chart Toppers: Name The Artist: And The Beat Goes On,whispers,,,,,,,,,
126676,Music : 80's Chart Toppers: Name The Artist: And We Danced,hooters,,,,,,,,,
126677,Music : 80's Chart Toppers: Name The Artist: Angel Eyes,jeff healey band,,,,,,,,,
126678,Music : 80's Chart Toppers: Name The Artist: Angel In Blue,j. geils band,,,,,,,,,
126679,Music : 80's Chart Toppers: Name The Artist: Angel Of Harlem,u2,,,,,,,,,
126680,Music : 80's Chart Toppers: Name The Artist: Angel Of The Morning,juice newton,,,,,,,,,
126681,Music : 80's Chart Toppers: Name The Artist: Angel Say No,tommy tutone,,,,,,,,,
126682,Music : 80's Chart Toppers: Name The Artist: Angel,aerosmith,,,,,,,,,
126683,Music : 80's Chart Toppers: Name The Artist: Angel,madonna,,,,,,,,,
126684,Music : 80's Chart Toppers: Name The Artist: Angelia,richard marx,,,,,,,,,
126685,Music : 80's Chart Toppers: Name The Artist: Animal,def leppard,,,,,,,,,
126686,Music : 80's Chart Toppers: Name The Artist: Another Brick In The Wall,pink floyd,,,,,,,,,
126687,Music : 80's Chart Toppers: Name The Artist: Another Day In Paradise,phil collins,,,,,,,,,
126688,Music : 80's Chart Toppers: Name The Artist: Another Lover,giant steps,,,,,,,,,
126689,Music : 80's Chart Toppers: Name The Artist: Another Night,aretha franklin,,,,,,,,,
126690,Music : 80's Chart Toppers: Name The Artist: Another One Bites The Dust,queen,,,,,,,,,
126691,Music : 80's Chart Toppers: Name The Artist: Another Part Of Me,michael jackson,,,,,,,,,
126692,Music : 80's Chart Toppers: Name The Artist: Answering Machine,rupert holmes,,,,,,,,,
126693,Music : 80's Chart Toppers: Name The Artist: Any Day Now,ronnie milsap,,,,,,,,,
126694,Music : 80's Chart Toppers: Name The Artist: Any Way You Want It,journey,,,,,,,,,
126695,Music : 80's Chart Toppers: Name The Artist: Anything For You,miami sound machine,,,,,,,,,
126696,Music : 80's Chart Toppers: Name The Artist: Are We Ourselves?,fixx,,,,,,,,,
126697,Music : 80's Chart Toppers: Name The Artist: Armageddon It,def leppard,,,,,,,,,
126698,Music : 80's Chart Toppers: Name The Artist: As We Lay,shirley murdock,,,,,,,,,
126699,Music : 80's Chart Toppers: Name The Artist: Ashes By Now,rodney crowell,,,,,,,,,
126700,Music : 80's Chart Toppers: Name The Artist: At This Moment,billy vera & the beaters,,,,,,,,,
126701,Music : 80's Chart Toppers: Name The Artist: Athena,who,,,,,,,,,
126702,Music : 80's Chart Toppers: Name The Artist: Atlanta Lady,marty balin,,,,,,,,,
126703,Music : 80's Chart Toppers: Name The Artist: Atomic,blondie,,,,,,,,,
126704,Music : 80's Chart Toppers: Name The Artist: Authority Song,john cougar,,,,,,,,,
126705,Music : 80's Chart Toppers: Name The Artist: Automatic Man,michael sembello,,,,,,,,,
126706,Music : 80's Chart Toppers: Name The Artist: Automatic,pointer sisters,,,,,,,,,
126707,Music : 80's Chart Toppers: Name The Artist: Axel F,harold faltermeyer,,,,,,,,,
126708,Music : 80's Chart Toppers: Name The Artist: Baby Come To Me,patti austin & james ingram,,,,,,,,,
126709,Music : 80's Chart Toppers: Name The Artist: Baby Don't Forget My Number,milli vanilli,,,,,,,,,
126710,Music : 80's Chart Toppers: Name The Artist: Baby I Lied,deborah allen,,,,,,,,,
126711,Music : 80's Chart Toppers: Name The Artist: Baby Jane,rod stewart,,,,,,,,,
126712,Music : 80's Chart Toppers: Name The Artist: Baby Love,regina,,,,,,,,,
126713,Music : 80's Chart Toppers: Name The Artist: Baby Makes Her Blue Jeans Talk,dr. hook,,,,,,,,,
126714,Music : 80's Chart Toppers: Name The Artist: Baby Talks Dirty,knack,,,,,,,,,
126715,"Music : 80's Chart Toppers: Name The Artist: Baby, I Love Your Way",will to power,,,,,,,,,
126716,Music : 80's Chart Toppers: Name The Artist: Back In Black,ac/dc,,,,,,,,,
126717,Music : 80's Chart Toppers: Name The Artist: Back In The High Life Again,steve winwood,,,,,,,,,
126718,Music : 80's Chart Toppers: Name The Artist: Back On Holiday,robbie nevil,,,,,,,,,
126719,Music : 80's Chart Toppers: Name The Artist: Back On My Feet Again,babys,,,,,,,,,
126720,Music : 80's Chart Toppers: Name The Artist: Back On The Chain Gang,pretenders,,,,,,,,,
126721,Music : 80's Chart Toppers: Name The Artist: Back Where You Belong,38 special,,,,,,,,,
126722,Music : 80's Chart Toppers: Name The Artist: Bad Boy,miami sound machine,,,,,,,,,
126723,Music : 80's Chart Toppers: Name The Artist: Bad Boy,ray parker jr,,,,,,,,,
126724,Music : 80's Chart Toppers: Name The Artist: Bad Medicine,bon jovi,,,,,,,,,
126725,Music : 80's Chart Toppers: Name The Artist: Bad,michael jackson,,,,,,,,,
126726,Music : 80's Chart Toppers: Name The Artist: Ballerina,lionel richie,,,,,,,,,
126727,Music : 80's Chart Toppers: Name The Artist: Bang Your Head,quiet riot,,,,,,,,,
126728,Music : 80's Chart Toppers: Name The Artist: Batdance,prince,,,,,,,,,
126729,Music : 80's Chart Toppers: Name The Artist: Be Good To Yourself,journey,,,,,,,,,
126730,Music : 80's Chart Toppers: Name The Artist: Be Mine Tonight,neil diamond,,,,,,,,,
126731,Music : 80's Chart Toppers: Name The Artist: Be My Lady,jefferson starship,,,,,,,,,
126732,Music : 80's Chart Toppers: Name The Artist: Be Near Me,abc,,,,,,,,,
126733,Music : 80's Chart Toppers: Name The Artist: Be Still My Beating Heart,sting,,,,,,,,,
126734,Music : 80's Chart Toppers: Name The Artist: Be With You,bangles,,,,,,,,,
126735,Music : 80's Chart Toppers: Name The Artist: Beat It,michael jackson,,,,,,,,,
126736,Music : 80's Chart Toppers: Name The Artist: Beat's So Lonely,charlie sexton,,,,,,,,,
126737,Music : 80's Chart Toppers: Name The Artist: Because Of You,cover girls,,,,,,,,,
126738,Music : 80's Chart Toppers: Name The Artist: Beds Are Burning,midnight oil,,,,,,,,,
126739,Music : 80's Chart Toppers: Name The Artist: Being With You,smokey robinson,,,,,,,,,
126740,Music : 80's Chart Toppers: Name The Artist: Believe It Or Not,joey scarbury,,,,,,,,,
126741,Music : 80's Chart Toppers: Name The Artist: Betcha Say That,miami sound machine,,,,,,,,,
126742,Music : 80's Chart Toppers: Name The Artist: Bette Davis Eyes,kim carnes,,,,,,,,,
126743,Music : 80's Chart Toppers: Name The Artist: Better Be Good To Me,tina turner,,,,,,,,,
126744,Music : 80's Chart Toppers: Name The Artist: Big Fun,kool & the gang,,,,,,,,,
126745,Music : 80's Chart Toppers: Name The Artist: Big Log,robert plant,,,,,,,,,
126746,Music : 80's Chart Toppers: Name The Artist: Big Love,fleetwood mac,,,,,,,,,
126747,Music : 80's Chart Toppers: Name The Artist: Big Time,peter gabriel,,,,,,,,,
126748,Music : 80's Chart Toppers: Name The Artist: Biggest Part Of Me,ambrosia,,,,,,,,,
126749,Music : 80's Chart Toppers: Name The Artist: Billie Jean,michael jackson,,,,,,,,,
126750,Music : 80's Chart Toppers: Name The Artist: Birthday Suit,johnny kemp,,,,,,,,,
126751,Music : 80's Chart Toppers: Name The Artist: Black And Blue,van halen,,,,,,,,,
126752,Music : 80's Chart Toppers: Name The Artist: Blame It On The Rain,milli vanilli,,,,,,,,,
126753,Music : 80's Chart Toppers: Name The Artist: Blessed Are The Believers,anne murray,,,,,,,,,
126754,Music : 80's Chart Toppers: Name The Artist: Blue Eyes,elton john,,,,,,,,,
126755,Music : 80's Chart Toppers: Name The Artist: Blue Jean,david bowie,,,,,,,,,
126756,Music : 80's Chart Toppers: Name The Artist: Bobbie Sue,oak ridge boys,,,,,,,,,
126757,Music : 80's Chart Toppers: Name The Artist: Body Language,queen,,,,,,,,,
126758,Music : 80's Chart Toppers: Name The Artist: Bop 'Til You Drop,rick springfield,,,,,,,,,
126759,Music : 80's Chart Toppers: Name The Artist: Borderline,madonna,,,,,,,,,
126760,Music : 80's Chart Toppers: Name The Artist: Born In The U.S.A.,bruce springsteen,,,,,,,,,
126761,Music : 80's Chart Toppers: Name The Artist: Born To Be My Baby,bon jovi,,,,,,,,,
126762,Music : 80's Chart Toppers: Name The Artist: Boulevard,jackson brown,,,,,,,,,
126763,Music : 80's Chart Toppers: Name The Artist: Boy From New York City,manhattan transfer,,,,,,,,,
126764,Music : 80's Chart Toppers: Name The Artist: Boy In The Box,corey hart,,,,,,,,,
126765,Music : 80's Chart Toppers: Name The Artist: Boys Do Fall In Love,robin gibb,,,,,,,,,
126766,Music : 80's Chart Toppers: Name The Artist: Boys Night Out,timothy b. schmit,,,,,,,,,
126767,Music : 80's Chart Toppers: Name The Artist: Brand New Lover,dead or alive,,,,,,,,,
126768,Music : 80's Chart Toppers: Name The Artist: Brass In Pocket,pretenders,,,,,,,,,
126769,Music : 80's Chart Toppers: Name The Artist: Break It To Me Gently,juice newton,,,,,,,,,
126770,Music : 80's Chart Toppers: Name The Artist: Break It Up,foreigner,,,,,,,,,
126771,Music : 80's Chart Toppers: Name The Artist: Break My Stride,matthew wilder,,,,,,,,,
126772,Music : 80's Chart Toppers: Name The Artist: Breakdance,irene cara,,,,,,,,,
126773,Music : 80's Chart Toppers: Name The Artist: Breakdown Dead Ahead,boz scaggs,,,,,,,,,
126774,Music : 80's Chart Toppers: Name The Artist: Breakin'.. There's No Stopping Us,ollie & jerry,,,,,,,,,
126775,Music : 80's Chart Toppers: Name The Artist: Breaking Away,balance,,,,,,,,,
126776,Music : 80's Chart Toppers: Name The Artist: Breaking Us In Two,joe jackson,,,,,,,,,
126777,Music : 80's Chart Toppers: Name The Artist: Breakout,swing out sister,,,,,,,,,
126778,Music : 80's Chart Toppers: Name The Artist: Brilliant Disguise,bruce springsteen & the e street band,,,,,,,,,
126779,Music : 80's Chart Toppers: Name The Artist: Broken Wings,mr. mister,,,,,,,,,
126780,Music : 80's Chart Toppers: Name The Artist: Bruce,rick springfield,,,,,,,,,
126781,Music : 80's Chart Toppers: Name The Artist: Buffalo Stance,neneh cherry,,,,,,,,,
126782,Music : 80's Chart Toppers: Name The Artist: Burnin' For You,blue oyster cult,,,,,,,,,
126783,Music : 80's Chart Toppers: Name The Artist: Burning Down The House,talking heads,,,,,,,,,
126784,Music : 80's Chart Toppers: Name The Artist: Burning Heart,survivor,,,,,,,,,
126785,Music : 80's Chart Toppers: Name The Artist: Burning Heart,vandenberg,,,,,,,,,
126786,Music : 80's Chart Toppers: Name The Artist: Bust A Move,young mc,,,,,,,,,
126787,Music : 80's Chart Toppers: Name The Artist: C I T Y,john cafferty & the beaver brown band,,,,,,,,,
